REGISTO,OBSER,CONCELHO,FREGUESIA,DATAINICIO,HORAINI,MINUTINI,DATAFIM,HORAFIM,MINUFIM,CAUSA,A_ARBORIZA,A_N_ARBORI,TOTAL
DM5560,,PAREDES,REBORDOSA,1993/08/18,18,35,1993/08/18,19,20,DES,0,0.01,0.01
DM5561,,FELGUEIRAS,SENDIM,1993/08/18,18,40,1993/08/18,19,5,DES,0,0.02,0.02
DM5562,,V.VERDE,COUCIEIRO,1993/08/18,18,45,1993/08/18,19,45,DES,0,0.1,0.1
DM5563,,AMARANTE,FRIDAO,1993/08/18,18,45,1993/08/18,20,15,DES,0,0.5,0.5
DM5564,,V.CASTELO,MEADELA,1993/08/18,18,58,1993/08/18,21,0,DES,0,0.05,0.05
DM5565,,P.FERREIRA,FIGUEIRO,1993/08/18,19,0,1993/08/18,19,30,DES,0,0.12,0.12
DM5566,,FAFE,TRAVASSOS,1993/08/18,19,5,1993/08/18,19,30,DES,0,0.5,0.5
DM5567,,LOUSADA,ORDEM,1993/08/18,19,8,1993/08/18,20,8,DES,0.5,1.5,2
DM5568,,GUIMARAES,M.CONEGOS,1993/08/18,19,15,1993/08/18,20,45,DES,0,0.1,0.1
DM5568,,GUIMARAES,M.CONEGOS,1993/08/19,16,10,1993/08/19,17,0,DES,0,0.1,0.1
DM5569,,V.CASTELO,MEADELA,1993/08/18,19,15,1993/08/18,21,0,DES,0,2.5,2.5
DM5570,,V.CASTELO,MEADELA,1993/08/18,19,15,1993/08/18,21,0,DES,0,2.5,2.5
DM5571,,P.LIMA,V.PIAES,1993/08/18,19,20,1993/08/18,20,20,DES,0,0.1,0.1
DM5572,,P.FERREIRA,FERREIRA,1993/08/18,19,30,1993/08/18,20,0,DES,0,0.03,0.03
DM5573,,P.FERREIRA,FREAMUNDE,1993/08/18,19,30,1993/08/18,20,0,DES,0,0.02,0.02
DM5574,,PAREDES,LOUREDO,1993/08/18,19,30,1993/08/18,21,0,DES,0,0.25,0.25
DM5575,,P.LIMA,"VILAR MONTE",1993/08/18,19,30,1993/08/19,3,0,DES,0,20,20
DM5576,,GONDOMAR,F.SOUSA,1993/08/18,19,50,1993/08/18,23,0,DES,0,0.05,0.05
DM5577,,PAREDES,REBORDOSA,1993/08/18,20,20,1993/08/18,21,20,DES,0,0.02,0.02
DM5578,,FAFE,FAFE,1993/08/18,20,35,1993/08/18,21,20,DES,0,0.01,0.01
DM5579,,P.LIMA,V.PIAES,1993/08/18,20,40,1993/08/18,22,0,DES,0,0.05,0.05
DM5580,,GUIMARAES,GONCA,1993/08/18,20,45,1993/08/18,21,15,DES,0,0.15,0.15
DM5581,,S.TIRSO,AVES,1993/08/18,20,55,1993/08/18,21,30,DES,0,0.05,0.05
DM5582,,MELGACO,CRISTOVAL,1993/08/18,21,0,1993/08/18,22,20,DES,0,0.05,0.05
DM5583,,ESPOSENDE,GANDRA,1993/08/18,21,40,1993/08/18,22,45,DES,0,0.1,0.1
DM5584,,V.VERDE,MARRANCOS,1993/08/18,21,40,1993/08/18,23,50,DES,0,0.5,0.5
DM5585,,FELGUEIRAS,V.FRIA,1993/08/18,21,40,1993/08/18,23,40,DES,0,0.15,0.15
DM5586,,P.FERREIRA,FERREIRA,1993/08/18,21,55,1993/08/18,22,15,DES,0,0.02,0.02
DM5587,,FEIRA,LOBAO,1993/08/18,21,55,1993/08/18,23,30,DES,0,0.15,0.15
DM5588,,S.TIRSO,GUIDOES,1993/08/18,22,0,1993/08/19,0,50,DES,0,0.5,0.5
DM5589,,PAREDES,SOBROSA,1993/08/18,22,0,1993/08/18,23,0,DES,0,0.05,0.05
DM5590,,GUIMARAES,FERMENTOES,1993/08/18,22,5,1993/08/18,22,45,DES,0,0.1,0.1
DM5591,,BAIAO,GESTACO,1993/08/18,22,10,1993/08/19,2,0,DES,0,3,3
DM5592,,ESPINHO,SILVADE,1993/08/18,22,15,1993/08/18,22,45,DES,0,0.02,0.02
DM5593,,FELGUEIRAS,V.C.LIXA,1993/08/18,22,20,1993/08/18,23,25,DES,0.1,0.2,0.3
DM5594,,BRAGA,TEBOSA,1993/08/18,22,40,1993/08/19,1,40,DES,0,0.2,0.2
DM5595,,PAREDES,V.C.CARROS,1993/08/18,22,45,1993/08/19,0,0,DES,0,0.2,0.2
DM5596,,PAREDES,GANDRA,1993/08/18,22,50,1993/08/18,23,50,DES,0,0.01,0.01
DM5597,,MARCO,CONSTANCE,1993/08/18,22,55,1993/08/18,23,55,DES,0,0.03,0.03
DM5598,,P.LANHOSO,COVELAS,1993/08/18,23,0,1993/08/19,1,20,DES,0,0.5,0.5
DM5599,,P.COURA,CASTANHEIRA,1993/08/18,23,15,1993/08/19,0,20,DES,0,0.05,0.05
DM5600,,S.TIRSO,REBORDOES,1993/08/18,23,20,1993/08/19,0,15,DES,0,0.05,0.05
DM5601,,FELGUEIRAS,M.LIXA,1993/08/18,23,30,1993/08/19,2,30,DES,0,1.5,1.5
DM5602,,LOUSADA,LODARES,1993/08/18,23,40,1993/08/19,0,30,DES,0.15,0.15,0.3
DM5603,,VALONGO,ALFENA,1993/08/18,23,45,1993/08/19,1,10,DES,0,0.05,0.05
DM5604,,V.N.GAIA,OLIVAL,1993/08/18,23,45,1993/08/19,0,45,DES,0,0.02,0.02
DM5605,,VALONGO,ALFENA,1993/08/19,0,0,1993/08/19,0,50,DES,0,0.15,0.15
DM5606,,BRAGA,S.PAIO,1993/08/19,0,15,1993/08/19,9,15,DES,0,5,5
DM5607,,AMARANTE,REAL,1993/08/19,0,30,1993/08/19,2,50,DES,0,1,1
DM5608,,MATOSINHOS,L.BAILIO,1993/08/19,12,7,1993/08/19,12,24,DES,0,0.01,0.01
DM5608,,MATOSINHOS,L.BAILIO,1993/08/19,0,52,1993/08/19,2,50,DES,0,0.25,0.25
DM5609,,V.VERDE,MOURE,1993/08/19,0,55,1993/08/19,2,10,DES,0,0.05,0.05
DM5610,,PENAFIEL,CANELAS,1993/08/19,1,0,1993/08/19,1,35,DES,0,0.02,0.02
DM5611,,A.VALDEVEZ,CABREIRO,1993/08/19,1,10,1993/08/19,2,10,DES,5,5,10
DM5612,,GONDOMAR,"RIO TINTO",1993/08/19,1,15,1993/08/19,2,40,DES,0,0.4,0.4
DM5613,,GONDOMAR,"RIO TINTO",1993/08/19,1,15,1993/08/19,2,40,DES,0,0.4,0.4
DM5614,,P.COURA,PARDONELO,1993/08/19,1,30,1993/08/19,2,35,DES,0,0.05,0.05
DM5615,,P.LANHOSO,ESPERANCA,1993/08/19,1,35,1993/08/19,2,20,DES,0,0.5,0.5
DM5615,,P.LANHOSO,ESPERANCA,1993/08/19,5,40,1993/08/19,10,5,DES,0,0.5,0.5
DM5616,,V.MINHO,ROSSAS,1993/08/19,1,55,1993/08/19,9,30,DES,0,0.7,0.7
DM5616,,V.MINHO,ROSSAS,1993/08/19,14,10,1993/08/19,20,10,DES,2,1,3
DM5617,,A.VALDEVEZ,CABREIRO,1993/08/19,2,10,1993/08/19,12,40,DES,5,5,10
DM5618,,P.FERREIRA,FRAZAO,1993/08/19,2,15,1993/08/19,3,35,DES,0,0.1,0.1
DM5619,,BARCELOS,RORIZ,1993/08/19,2,15,1993/08/19,16,30,DES,2,15,17
DM5620,,CEL.BASTO,B.MONTANHA,1993/08/19,2,20,1993/08/19,6,0,DES,1,0,1
DM5621,,PAREDES,BALTAR,1993/08/19,2,35,1993/08/19,3,0,DES,0,0.01,0.01
DM5622,,GONDOMAR,S.P.COVA,1993/08/19,2,35,1993/08/19,3,35,DES,0,0.02,0.02
DM5623,,CAMINHA,ARGELA,1993/08/19,2,45,1993/08/19,3,0,DES,0,0.6,0.6
DM5624,,CAMINHA,ARGELA,1993/08/19,2,45,1993/08/19,5,0,DES,0,0.6,0.6
DM5625,,BAIAO,S.M.ZEZERE,1993/08/19,2,45,1993/08/19,4,0,DES,0,0.05,0.05
DM5626,,FAFE,ABOIM,1993/08/19,13,40,1993/08/19,22,40,DES,1,1,2
DM5626,,FAFE,ABOIM,1993/08/19,2,50,1993/08/19,6,50,DES,0,2,2
DM5627,,VALONGO,ALFENA,1993/08/19,3,15,1993/08/19,4,10,DES,0,0.05,0.05
DM5628,,V.VERDE,CODECEDA,1993/08/19,4,0,1993/08/20,22,0,DES,0,250,250
DM5629,,P.LANHOSO,AJUDE,1993/08/19,4,20,1993/08/19,6,20,DES,0,0.01,0.01
DM5630,,V.CASTELO,PORTUZELO,1993/08/19,4,40,1993/08/19,6,10,DES,0,0.5,0.5
DM5631,,BAIAO,TRESOURAS,1993/08/19,6,15,1993/08/19,8,0,DES,0,1,1
DM5632,,AMARES,VILELA,1993/08/19,6,40,1993/08/19,8,0,DES,0,0.05,0.05
DM5633,,PAREDES,SOBREIRA,1993/08/19,6,45,1993/08/19,8,10,DES,0,0.02,0.02
DM5634,,S.TIRSO,VILARINHO,1993/08/19,7,5,1993/08/19,8,10,DES,0,0.2,0.2
DM5635,,S.TIRSO,VILARINHO,1993/08/20,10,15,1993/08/20,12,0,DES,0,0.05,0.05
DM5635,,S.TIRSO,VILARINHO,1993/08/20,5,30,1993/08/20,6,50,DES,0,0.1,0.1
DM5635,,S.TIRSO,VILARINHO,1993/08/19,7,15,1993/08/19,8,0,DES,0,0.2,0.2
DM5635,,S.TIRSO,VILARINHO,1993/08/19,16,30,1993/08/19,17,35,DES,0,0.2,0.2
DM5635,,S.TIRSO,VILARINHO,1993/08/19,14,25,1993/08/19,15,25,DES,0,0.3,0.3
DM5635,,S.TIRSO,VILARINHO,1993/08/20,0,20,1993/08/20,3,0,DES,0,0.5,0.5
DM5636,,S.TIRSO,REFOJOS,1993/08/19,7,20,1993/08/19,9,0,DES,0,0.1,0.1
DM5637,,FELGUEIRAS,B.GODIM,1993/08/19,20,5,1993/08/19,22,0,DES,0,0.04,0.04
DM5637,,FELGUEIRAS,B.GODIM,1993/08/19,7,50,1993/08/19,10,30,DES,0,0.2,0.2
DM5637,,FELGUEIRAS,B.GODIM,1993/08/19,12,10,1993/08/19,18,10,DES,0,0.3,0.3
DM5638,,MATOSINHOS,MATOSINHOS,1993/08/19,16,10,1993/08/19,16,35,DES,0,0.01,0.01
DM5638,,MATOSINHOS,MATOSINHOS,1993/08/19,7,50,1993/08/19,9,10,DES,0,0.05,0.05
DM5639,,MARCO,MANHUNCELOS,1993/08/19,8,45,1993/08/19,9,30,DES,0,0.01,0.01
DM5640,,BARCELOS,S.M.V.FRESC,1993/08/19,9,0,1993/08/19,9,45,DES,0,0.05,0.05
DM5641,,FELGUEIRAS,SENDIM,1993/08/19,9,0,1993/08/19,11,0,DES,0,0.1,0.1
DM5641,,FELGUEIRAS,SENDIM,1993/08/19,13,30,1993/08/19,17,25,DES,0.1,0.2,0.3
DM5642,,PENAFIEL,D.IGREJAS,1993/08/19,9,10,1993/08/19,10,20,DES,0,0.05,0.05
DM5642,,PENAFIEL,D.IGREJAS,1993/08/19,12,10,1993/08/19,12,50,DES,0,0.05,0.05
DM5642,,PENAFIEL,D.IGREJAS,1993/08/19,17,40,1993/08/19,20,10,DES,0,0.2,0.2
DM5643,,FAFE,ROSSAS,1993/08/19,9,40,1993/08/19,12,10,DES,3,22,25
DM5644,,V.MINHO,SOUTELO,1993/08/19,10,15,1993/08/19,11,35,DES,0,0.1,0.1
DM5645,,MATOSINHOS,GUIFOES,1993/08/19,10,30,1993/08/19,11,45,DES,0,0.2,0.2
DM5646,,CEL.BASTO,GEMEOS,1993/08/20,2,5,1993/08/20,2,25,DES,0,0.01,0.01
DM5646,,CEL.BASTO,GEMEOS,1993/08/20,14,0,1993/08/20,15,10,DES,0,0.01,0.01
DM5646,,CEL.BASTO,GEMEOS,1993/08/19,19,20,1993/08/19,21,20,DES,0.3,0.2,0.5
DM5646,,CEL.BASTO,GEMEOS,1993/08/19,11,0,1993/08/19,11,50,DES,0,1,1
DM5646,,CEL.BASTO,GEMEOS,1993/08/20,6,0,1993/08/20,7,50,DES,0.1,0,0.1
DM5647,,MARCO,S.NICOLAU,1993/08/19,11,10,1993/08/19,12,0,DES,0,0.01,0.01
DM5648,,P.COURA,PARADA,1993/08/19,11,30,1993/08/19,14,20,DES,0,1,1
DM5649,,BRAGA,MOREIRA,1993/08/19,11,45,1993/08/19,13,45,DES,0,2,2
DM5650,,FAMALICAO,CALENDARIO,1993/08/19,12,50,1993/08/19,13,35,DES,0,0.02,0.02
DM5651,,GONDOMAR,FANZERES,1993/08/19,12,50,1993/08/19,14,15,DES,0,0.2,0.2
DM5651,,GONDOMAR,FANZERES,1993/08/19,16,15,1993/08/19,18,50,DES,0,0.2,0.2
DM5652,,GUIMARAES,AZUREM,1993/08/19,13,5,1993/08/19,13,30,DES,0,0.1,0.1
DM5653,,AMARANTE,BOSTELO,1993/08/19,13,15,1993/08/19,17,15,DES,0.05,0.05,0.1
DM5654,,V.CASTELO,FREIXIEIRO,1993/08/19,13,15,1993/08/19,15,40,DES,0,0.1,0.1
DM5655,,CEL.BASTO,RIBAS,1993/08/19,13,15,1993/08/19,15,10,DES,0,0.5,0.5
DM5656,,GUIMARAES,S.L.SANDE,1993/08/19,13,15,1993/08/19,14,30,DES,0.03,0,0.03
DM5657,,MARCO,V.B.QUIRES,1993/08/19,13,15,1993/08/20,11,30,DES,0.5,1,1.5
DM5658,,VALENCA,ARAO,1993/08/19,13,30,1993/08/19,15,10,DES,0,0.5,0.5
DM5659,,PENAFIEL,V.COVA,1993/08/19,13,30,1993/08/19,14,40,DES,0.05,0.05,0.1
DM5660,,FAMALICAO,LOURO,1993/08/19,13,35,1993/08/19,14,5,DES,0,0.02,0.02
DM5661,,LOUSADA,CAIDE,1993/08/19,13,45,1993/08/19,14,25,DES,0.15,0.15,0.3
DM5661,,LOUSADA,CAIDE,1993/08/19,15,25,1993/08/19,16,10,DES,0,0.3,0.3
DM5662,,P.FERREIRA,FRAZAO,1993/08/19,13,50,1993/08/19,14,40,DES,0,0.03,0.03
DM5663,,GONDOMAR,"RIO TINTO",1993/08/19,17,40,1993/08/19,19,20,DES,0,0.15,0.15
DM5663,,GONDOMAR,"RIO TINTO",1993/08/19,13,50,1993/08/19,17,15,DES,1,0,1
DM5664,,P.LANHOSO,LANHOSO,1993/08/19,14,0,1993/08/19,17,0,DES,0,3,3
DM5665,,MAIA,A.SANTAS,1993/08/19,14,3,1993/08/19,14,39,DES,0,0.02,0.02
DM5665,,MAIA,A.SANTAS,1993/08/19,16,26,1993/08/19,17,17,DES,0,0.05,0.05
DM5666,,V.CASTELO,LANHESES,1993/08/19,14,5,1993/08/19,15,25,DES,0,0.05,0.05
DM5667,,P.LIMA,SANDIAES,1993/08/19,14,10,1993/08/19,16,50,DES,0,0.05,0.05
DM5668,,PAREDES,GANDRA,1993/08/19,14,20,1993/08/19,18,30,DES,0,0.1,0.1
DM5669,,FAMALICAO,LAGOA,1993/08/19,14,30,1993/08/19,15,15,DES,0,0.05,0.05
DM5670,,MAIA,GUEIFAES,1993/08/19,14,34,1993/08/19,18,10,DES,0,2,2
DM5671,,MARCO,ALPENDURADA,1993/08/19,14,42,1993/08/19,18,5,DES,2,0,2
DM5672,,PENAFIEL,CROCA,1993/08/19,14,50,1993/08/19,16,20,DES,0.05,0.2,0.25
DM5673,,MARCO,TUIAS,1993/08/19,14,56,1993/08/19,15,30,DES,0,0.01,0.01
DM5674,,LOUSADA,BARROSAS,1993/08/19,15,0,1993/08/19,16,0,DES,0,0.5,0.5
DM5675,,BRAGA,ESPINHO,1993/08/19,15,0,1993/08/19,19,30,DES,0,6,6
DM5676,,BAIAO,GOVE,1993/08/19,16,45,1993/08/19,17,20,DES,0.25,0.25,0.5
DM5676,,BAIAO,GOVE,1993/08/19,15,0,1993/08/19,16,20,DES,0.5,0.5,1
DM5677,,GUIMARAES,SERZEDELO,1993/08/19,15,0,1993/08/19,18,0,DES,1.5,0,1.5
DM5678,,MONCAO,BELA,1993/08/19,15,5,1993/08/19,18,20,DES,0.5,0,0.5
DM5679,,P.LANHOSO,MOURE,1993/08/19,15,5,1993/08/19,16,15,DES,0,0.15,0.15
DM5680,,PENAFIEL,BUSTELO,1993/08/19,15,10,1993/08/19,15,45,DES,0,0.03,0.03
DM5681,,LOUSADA,LODARES,1993/08/19,15,10,1993/08/19,15,30,DES,0,0.1,0.1
DM5681,,LOUSADA,LODARES,1993/08/19,15,20,1993/08/19,21,35,DES,2.5,2.5,5
DM5682,,FELGUEIRAS,PENACOVA,1993/08/19,15,15,1993/08/19,16,0,DES,0,0.1,0.1
DM5683,,PAREDES,RECAREI,1993/08/19,15,15,1993/08/19,19,30,DES,20,10,30
DM5684,,VALENCA,TAIAO,1993/08/19,15,15,1993/08/19,17,40,DES,0,0.05,0.05
DM5685,,V.VERDE,MARRANCOS,1993/08/19,15,20,1993/08/19,16,30,DES,0.3,0,0.3
DM5685,,V.VERDE,MARRANCOS,1993/08/19,23,50,1993/08/20,1,35,DES,1,0,1
DM5686,,P.FERREIRA,PENAMAIOR,1993/08/19,15,20,1993/08/19,19,15,DES,0,0.5,0.5
DM5687,,FAFE,PASSOS,1993/08/19,15,25,1993/08/19,17,40,DES,0,0.08,0.08
DM5688,,MATOSINHOS,PERAFITA,1993/08/19,15,25,1993/08/19,16,25,DES,0,0.01,0.01
DM5689,,S.TIRSO,RORIZ,1993/08/19,17,45,1993/08/19,19,0,DES,0,0.1,0.1
DM5689,,S.TIRSO,RORIZ,1993/08/20,4,27,1993/08/20,5,25,DES,0,0.1,0.1
DM5689,,S.TIRSO,RORIZ,1993/08/19,15,25,1993/08/19,17,0,DES,0,0.3,0.3
DM5690,,BRAGA,MOREIRA,1993/08/19,15,30,1993/08/19,20,55,DES,0,10,10
DM5691,,GUIMARAES,S.JORGE,1993/08/19,15,30,1993/08/19,17,30,DES,0,0.5,0.5
DM5692,,V.N.GAIA,V.PARAISO,1993/08/19,15,30,1993/08/19,16,25,DES,0,0.05,0.05
DM5693,,P.LIMA,BARRIO,1993/08/19,15,35,1993/08/19,23,30,DES,0,20,20
DM5693,,P.LIMA,BARRIO,1993/08/20,4,30,1993/08/20,13,0,DES,0,20,20
DM5694,,GUIMARAES,S.LEOCADIA,1993/08/19,15,45,1993/08/19,20,10,DES,4,0,4
DM5695,,PENAFIEL,S.M.RECESINHOS,1993/08/19,15,45,1993/08/19,17,0,DES,0,0.05,0.05
DM5696,,P.FERREIRA,FRAZAO,1993/08/19,15,50,1993/08/19,16,10,DES,0,0.05,0.05
DM5697,,V.MINHO,GUILHOFREI,1993/08/19,15,55,1993/08/19,21,30,DES,5,5,10
DM5698,,S.TIRSO,S.C.COUTO,1993/08/19,15,55,1993/08/19,17,35,DES,0,0.1,0.1
DM5699,,BAIAO,GESTACO,1993/08/19,16,0,1993/08/19,22,0,DES,0,4,4
DM5700,,CEL.BASTO,S.CLEMENTE,1993/08/19,16,0,1993/08/19,20,25,DES,0,5,5
DM5701,,CEL.BASTO,S.CLEMENTE,1993/08/19,16,0,1993/08/19,20,25,DES,0,5,5
DM5701,,CEL.BASTO,S.CLEMENTE,1993/08/19,16,0,1993/08/19,20,25,DES,3,0,3
DM5702,,FELGUEIRAS,REFONTOURA,1993/08/19,16,10,1993/08/19,18,50,DES,0.5,0.5,1
DM5703,,GUIMARAES,RENDUFE,1993/08/19,16,20,1993/08/19,17,30,DES,0,1,1
DM5704,,CEL.BASTO,RIBAS,1993/08/19,16,20,1993/08/19,19,10,DES,0,2,2
DM5705,,MONCAO,MESSEGAES,1993/08/19,16,25,1993/08/19,22,30,DES,0,6,6
DM5706,,V.VERDE,V.VERDE,1993/08/19,16,25,1993/08/19,17,25,DES,0,0.05,0.05
DM5707,,FAFE,FREITAS,1993/08/19,16,30,1993/08/19,19,0,DES,0,0.05,0.05
DM5708,,VALENCA,GANFEI,1993/08/19,21,15,1993/08/19,22,0,DES,0,0.01,0.01
DM5708,,VALENCA,GANFEI,1993/08/19,16,30,1993/08/19,20,30,DES,0,1,1
DM5709,,GUIMARAES,"SALVADOR SOUTO",1993/08/20,23,45,1993/08/21,1,30,DES,0,0.03,0.03
DM5709,,GUIMARAES,"SALVADOR SOUTO",1993/08/19,16,30,1993/08/19,21,45,DES,0.3,0,0.3
DM5709,,GUIMARAES,"SALVADOR SOUTO",1993/08/19,20,0,1993/08/19,21,45,DES,1,0,1
DM5710,,PENAFIEL,PENAFIEL,1993/08/19,16,40,1993/08/19,17,20,DES,0,0.05,0.05
DM5711,,GUIMARAES,AZUREM,1993/08/19,16,50,1993/08/19,18,0,DES,1,0,1
DM5712,,VALONGO,ERMESINDE,1993/08/19,16,50,1993/08/19,18,15,DES,0,0.3,0.3
DM5713,,AMARES,FERREIROS,1993/08/19,16,50,1993/08/19,17,30,DES,0,0.5,0.5
DM5714,,MATOSINHOS,S.M.INFESTA,1993/08/19,16,56,1993/08/19,18,15,DES,0,0.06,0.06
DM5715,,MELGACO,CRISTOVAL,1993/08/19,17,0,1993/08/20,22,0,DES,183,370,553
DM5716,,FELGUEIRAS,LAGARES,1993/08/19,17,10,1993/08/19,18,30,DES,0,1,1
DM5717,,AMARANTE,S.SIMAO,1993/08/19,17,15,1993/08/19,22,15,DES,2,4,6
DM5718,,PENAFIEL,BUSTELO,1993/08/19,20,25,1993/08/19,21,30,DES,0,0.05,0.05
DM5718,,PENAFIEL,BUSTELO,1993/08/19,17,20,1993/08/19,19,50,DES,2.5,2.5,5
DM5719,,PAREDES,REBORDOSA,1993/08/19,17,20,1993/08/19,17,50,DES,0,0.01,0.01
DM5720,,MELGACO,ROUSSAS,1993/08/19,17,20,1993/08/19,22,30,DES,0,4,4
DM5721,,BAIAO,S.LEOCADIA,1993/08/19,17,20,1993/08/19,18,40,DES,0.25,0.25,0.5
DM5722,,FELGUEIRAS,AIRAES,1993/08/19,17,25,1993/08/19,17,25,DES,1.5,1.5,3
DM5723,,A.VALDEVEZ,SOUTO,1993/08/19,17,25,1993/08/19,18,25,DES,0.02,0,0.02
DM5724,,MELGACO,CHAVIAES,1993/08/19,17,30,1993/08/19,22,0,DES,1,1,2
DM5725,,MELGACO,FIAES,1993/08/19,17,45,1993/08/19,21,30,DES,0,3,3
DM5726,,V.N.GAIA,GRIJO,1993/08/19,17,45,1993/08/19,19,0,DES,0,0.1,0.1
DM5727,,FAMALICAO,GAVIAO,1993/08/19,17,50,1993/08/19,19,25,DES,0,0.06,0.06
DM5728,,BRAGA,FRAIAO,1993/08/19,17,55,1993/08/19,18,45,DES,0,0.1,0.1
DM5729,,FELGUEIRAS,POMBEIRO,1993/08/19,18,0,1993/08/19,18,30,DES,0.5,0.5,1
DM5729,,FELGUEIRAS,POMBEIRO,1993/08/19,18,30,1993/08/19,19,20,DES,1,1,2
DM5730,,GONDOMAR,S.P.COVA,1993/08/19,18,0,1993/08/19,19,15,DES,0,0.5,0.5
DM5731,,GUIMARAES,S.JORGE,1993/08/19,18,10,1993/08/19,22,0,DES,0,0.5,0.5
DM5732,,GUIMARAES,S.JORGE,1993/08/19,18,10,1993/08/19,22,0,DES,0,0.5,0.5
DM5733,,FELGUEIRAS,V.C.LIXA,1993/08/19,18,10,1993/08/19,18,50,DES,0,0.05,0.05
DM5734,,BRAGA,ESPOROES,1993/08/19,18,15,1993/08/19,22,0,DES,0,2,2
DM5735,,MARCO,SOALHAES,1993/08/19,18,15,1993/08/19,19,22,DES,0,0.03,0.03
DM5736,,PAREDES,CETE,1993/08/19,18,25,1993/08/19,19,45,DES,0,0.03,0.03
DM5737,,A.VALDEVEZ,PACO,1993/08/19,18,30,1993/08/19,19,55,DES,0,1,1
DM5738,,P.COURA,RESENDE,1993/08/19,18,30,1993/08/19,20,0,DES,0,0.5,0.5
DM5738,,P.COURA,RESENDE,1993/08/19,20,20,1993/08/19,21,45,DES,0,1,1
DM5739,,V.VERDE,CERVAES,1993/08/19,18,40,1993/08/19,22,40,DES,0,5,5
DM5740,,PENAFIEL,CROCA,1993/08/19,18,50,1993/08/19,22,0,DES,0.5,0.5,1
DM5741,,PAREDES,LORDELO,1993/08/19,18,55,1993/08/19,19,25,DES,0,0.05,0.05
DM5742,,FELGUEIRAS,V.C.LIXA,1993/08/19,19,10,1993/08/19,20,30,DES,0,0.02,0.02
DM5742,,FELGUEIRAS,V.C.LIXA,1993/08/19,18,55,1993/08/19,20,5,DES,0,0.2,0.2
DM5743,,PAREDES,BALTAR,1993/08/19,19,0,1993/08/19,20,0,DES,0,0.02,0.02
DM5744,,BARCELOS,MINHOTAES,1993/08/19,19,5,1993/08/19,20,30,DES,0,0.15,0.15
DM5745,,AMARANTE,GONDAR,1993/08/19,19,15,1993/08/19,23,15,DES,0.8,0.2,1
DM5745,,AMARANTE,GONDAR,1993/08/20,5,15,1993/08/20,9,15,DES,10,20,30
DM5746,,GONDOMAR,S.P.COVA,1993/08/19,19,15,1993/08/19,19,45,DES,0,0.02,0.02
DM5747,,T.BOURO,CHORENSE,1993/08/19,19,20,1993/08/19,20,30,DES,0,0.5,0.5
DM5748,,FAMALICAO,PEDOME,1993/08/19,19,20,1993/08/19,20,15,DES,0,0.3,0.3
DM5749,,CEL.BASTO,CANEDO,1993/08/19,19,35,1993/08/19,22,25,DES,0.4,0.1,0.5
DM5750,,V.N.GAIA,V.ANDORINHO,1993/08/19,19,35,1993/08/19,20,40,DES,0,0.3,0.3
DM5751,,BRAGA,SEMELHE,1993/08/19,19,40,1993/08/19,20,25,DES,0,0.01,0.01
DM5752,,FELGUEIRAS,FELGUEIRAS,1993/08/19,19,50,1993/08/19,21,0,DES,0,0.1,0.1
DM5753,,MONCAO,R.MOURO,1993/08/19,19,50,1993/08/19,21,50,DES,0,1.5,1.5
DM5753,,MONCAO,R.MOURO,1993/08/20,6,40,1993/08/20,15,20,DES,3.5,0,3.5
DM5754,,A.VALDEVEZ,VALE,1993/08/19,19,55,1993/08/19,20,25,DES,0,0.1,0.1
DM5755,,V.N.GAIA,V.ANDORINHO,1993/08/19,20,0,1993/08/19,20,35,DES,0,0.01,0.01
DM5756,,S.J.MADEIRA,S.J.MADEIRA,1993/08/19,20,20,1993/08/19,21,50,DES,0,0.05,0.05
DM5757,,V.N.GAIA,PEDROSO,1993/08/19,20,25,1993/08/19,21,15,DES,0,0.02,0.02
DM5758,,GUIMARAES,CASTELOES,1993/08/19,20,50,1993/08/19,23,10,DES,0,0.5,0.5
DM5759,,MELGACO,FIAES,1993/08/19,20,50,1993/08/20,4,30,DES,0,4,4
DM5760,,MELGACO,FIAES,1993/08/19,20,50,1993/08/20,4,30,DES,0,4,4
DM5761,,FEIRA,LOUROSA,1993/08/19,21,5,1993/08/19,21,30,DES,0,0.01,0.01
DM5762,,FAFE,SILVARES,1993/08/19,21,25,1993/08/20,1,0,DES,1,1,2
DM5763,,P.LIMA,BOALHOSA,1993/08/20,3,15,1993/08/20,5,25,DES,0,0.04,0.04
DM5763,,P.LIMA,BOALHOSA,1993/08/19,21,40,1993/08/19,22,40,DES,0,1,1
DM5764,,V.CASTELO,P.SUSA,1993/08/19,21,40,1993/08/19,23,50,DES,1,0,1
DM5765,,MARCO,FAVOES,1993/08/19,21,48,1993/08/19,22,35,DES,0,1,1
DM5766,,FAMALICAO,MOGEGE,1993/08/19,22,0,1993/08/19,22,50,DES,0,0.06,0.06
DM5767,,MARCO,CONSTANCE,1993/08/19,22,10,1993/08/19,23,15,DES,0,0.06,0.06
DM5768,,FAFE,OUTRAS,1993/08/19,22,10,1993/08/19,22,35,DES,0,0.01,0.01
DM5769,,V.N.GAIA,V.PARAISO,1993/08/19,22,10,1993/08/19,22,40,DES,0,0.03,0.03
DM5770,,AMARANTE,GATAO,1993/08/20,5,30,1993/08/20,6,30,DES,0,0.01,0.01
DM5770,,AMARANTE,GATAO,1993/08/20,6,30,1993/08/20,9,30,DES,2,2,4
